,job description,startup description,label,justification
108,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","Fluent empowers your decision makers with AI: Ask data questions directly, get insights instantly. Self-serve your company's data insights with AI. Fluent is your AI data analyst. It helps you explore your data and uncover the questions you should be asking.",False,Fluent is an AI data analyst tool. No link to exercise training.
109,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","Hubflo is the fastest-growing AI-Powered Client Portal for professional & creative services. 

Build a stunning branded client portal in 60s with AI to impress clients and streamline operations. Customize it with 10+ built-in tools (File sharing, contracts, approvals, client messaging, tasks, billing..) and deliver your services like a proHubflo is the fastest-growing AI-Powered Client Portal for professional & creative services. 
Build a stunning branded client portal in 60s with AI to impress clients and streamline operations. Customize it with 10+ built-in tools (File sharing, contracts, approvals, client messaging, tasks, billing..) and deliver your services like a pro 
More than 20k businesses, clients and contractors already use Hubflo for their daily work
Hubflo is ideal for digital agencies, consultants, freelancers, accountants, architects, home designers, law firms, and any other professional or creative service providers
Flexible & highly customizable Customer portal built with AI Magic
Fast integrations with 500+ external tools
Mobile friendly experience
Client onboarding features
Real-time client collaboration tool : advanced messaging, approvals, visualization of goals and projects progress..
Smartfiles : contracts and approvals in one-click
About Hubflo :  
A fast-growing startup backed by top-tier investors ($3M raised): first investors of Revolut, Stripe, Deliveroo...(Hummingbird Ventures & Seedcamp) and incredible business angels (ex-general manager of Microsoft, founder of Gumtree, VPs at Facebook, Notion, Robinhood)
Don’t let processes overwhelm you and get in the way of delivering a great client experience. Impress your clients with a customized and automated onboarding, a smooth delivery and collaboration. 
Skyrocket client satisfaction and retention
Reduce client emails, calls & meetings
Speed up onboarding & project delivery",False,Hubflo provides a client portal and workflow management for creative services but offers no support for cybercrime evidence gathering or forensic investigation.
110,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.",The AI Meeting assistant that replaces manual note-taking and tedious busywork.Never take notes during your meetings again.,False,An AI meeting assistant for note-taking and task automation does not contribute to experimental physics or development of physical laws.
111,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","We are In Parallel. We empower enterprise organizations and people to do the right things right. Our vision is to lead a new generation of enterprise software that empowers organizations to thrive in the face of complexity and change. By harnessing AI’s transformative capabilities, we help organizations and people become their best, contributing to a future where everyone can achieve their full potential. Our commitment to quality, creativity, and humanity aims to make a lasting, positive impact on our customers and the world.We are In Parallel. We empower enterprise organizations and people to do the right things right. Our vision is to lead a new generation of enterprise software that empowers organizations to thrive in the face of complexity and change. By harnessing AI’s transformative capabilities, we help organizations and people become their best, contributing to a future where everyone can achieve their full potential. Our commitment to quality, creativity, and humanity aims to make a lasting, positive impact on our customers and the world.
Our core offering, the Intelligent Operating Model, integrates AI and data-driven decision-making to close the gap between strategy and execution. This approach not only enhances operational efficiency but also ensures real-time alignment across all levels of your organization.
Founded in 2023, In Parallel is based in Helsinki, Finland, with offices in Munich and Amsterdam.
At In Parallel, our vision is to lead a new generation of enterprise software that empowers organizations to thrive in the face of complexity and change. By harnessing AI’s transformative capabilities, we help organizations and people become their best, contributing to a future where everyone can achieve their full potential. Our commitment to quality, creativity, and humanity aims to make a lasting, positive impact on our customers and the world.
Our mission is to empower organizations and people to do the right things right. We deliver strategic clarity in a rapidly evolving world, using AI to create game-changing Adaptive Strategies that make organizations more agile and resilient.",True,"“Intelligent Operating Model” and strategy–execution alignment directly support policy-setting, direction, and coordination."
112,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.","Ephos is building the essential infrastructure for quantum technologies. Leveraging pioneering femtosecond laser writing techniques, we create the highest fidelity quantum chips available and power the most advanced modular quantum architectures.",False,Ephos builds quantum technology infrastructure and chips; it is not connected to insurance sales or brokerage work.
113,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",You think software for construction has to be simple and practical? Then you will like Valoon!,False,Valoon is construction-related software and has no tools for studying chemical composition or metabolic processes of living organisms.
114,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.","Auquan is transforming investment research, using self-assembling knowledge graphs, to simultaneously accelerate research time from weeks to hours, while expanding the overall data coverage available to an investment team.",True,Investment research automation with knowledge graphs—direct support for analysts.
115,Control or operate entire chemical processes or system of machines.,"The Modular Analytics Co is an artificial intelligence and machine learning provider that helps people make better decisions faster. They deliver affordable AI and ML SaaS solutions in customer engagement, customer service, coaching, and marketing across a variety of industries including retail, banking, financial services, media, outsourcing, and consultancy.",False,The Modular Analytics Co offers AI for decision-making in areas like customer engagement and marketing but not for controlling chemical processes or industrial machines.
116,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.",Increase your yield and save on your water and pesticides spending with our sensors and AI-solutionsIncrease your yield and save on your water and pesticides spending with our sensors and AI-solutions,True,"Sensors & AI optimize water and pesticide use, directly aiding crop farming tasks."
117,"Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.","Doubts are no longer a part of your life.
Build your legal advice and strategy on the foundation of certainty.
Doctrine is the first legal intelligence platform that uses technology to make your legal analysis more credible. It has been approved by approximately 7,500 lawyers and jurists.
Visit www.doctrine.fr/avis to learn why they chose us.
Check the veracity of the opposing party's legal argument and consolidate your own using the Document Analyzer, a first in Europe. By having one-click access to legal sources cited in written submissions, you can save hours of research time.",True,"Doctrine is a legal intelligence platform with document analysis and source verification, supporting judicial research and drafting."
118,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.",We revolutionise customer service for small service businesses by turning instant messaging on WhatsApp into a fully autonomous AI assistant.,False,This startup provides autonomous AI assistants for customer service via WhatsApp; it does not perform or support physical sciences research.
119,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","Mindgard is a pioneering deep tech cybersecurity startup, uniquely positioned at the intersection of artificial intelligence (AI) security and development. Founded Peter Garraghan, a professor of computer science at Lancaster University, Mindgard has quickly established itself as a leader in securing AI systems against emerging digital threats. Leveraging proprietary technologies, including the world's most extensive library of AI attack scenarios, Mindgard provides enterprise-grade platforms that empower organizations to comprehensively test, detect, and respond to attacks on AI, ensuring their secure adoption.",True,Mindgard secures AI systems against cyber threats. Strongly related to testing and protecting network infrastructure.
120,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.",Atapia es un asistente emocional virtual y automatizado basado en IA para ayudar a gestionar las emociones.Atapia es un asistente emocional virtual y automatizado basado en IA para ayudar a gestionar las emociones.,True,"Atapia is a virtual emotional assistant, directly relevant to counseling and emotional intervention in schools."
121,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","Iterait delivers complex computer vision AI solutions that increase efficiency and productivity of businesses, reduce costs and free up workers’ time for higher-level tasks. They specialize in deep neural network development for various industries, be it healthcare, manufacturing, or marketing.",False,"Iterait offers computer vision AI, only loosely connected to healthcare IT."
122,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",Tasklane is an AI-powered ecosystem that leverages decades of industry expertise to revolutionize the global property management landscape.,False,"Tasklane focuses on property management optimization using AI and is not related to cell biology, metabolism, or drug/tissue effect studies."
123,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.","Swavy automates most of the steps required to launch a successful creator marketing campaign. This becomes invaluable when collaborating with large cohorts of micro-creators, which is what we specialize in.",False,Swavy automates creator marketing campaigns; it has no scientific or laboratory research applications in biochemistry or cellular studies.
124,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","Our AI powered cyber security solution helps telecoms operators create new services, reducing churn and increasing revenue.Their patented technology for any router/gateway, using minimal resources, connects to cloud services providing 24*7 protection, any network, anywhere. GCHQ/NCSC Alumni. AI cybersecurity and network intelligence solutions for mobile and broadband operators. 

BlackDice is an alumni of NCSC/GCHQ accelerator program 2019 cohort. Our AI cybersecurity and insight solution helps operators bring new core services to market quickly, increasing ARPU and reducing churn. SIEM, Device anomaly management, fingerprinting and identification, DNS over HTTPS filtering, Threat and vulnerability intelligence and insight to the telecoms edge network. Keeping networks, devices and customers safer online. Easily integrated into existing CPE firmware with out of the box operator intelligence and apps, as well as an SDK to custom build",True,"BlackDice provides AI-powered cybersecurity solutions at the telecom network level, including anomaly detection and edge network intelligence. Strongly aligned with troubleshooting and maintaining networks."
125,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",Vital Beats enables AI-driven diagnostics and treatment for cardiac patients with implanted devices. We produce a software platform that delivers clinical decision support for cardiac care. Our vision is to transform heart patient care to become more preventive and personalised. We do this by combining advanced data analytics with active patient engagement.,True,"Vital Beats supports cardiac patients with AI diagnostics and decision support, aligned with computerized healthcare systems."
126,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",Running a successful online store in today's market requires more than just great products and excellent customer service.,False,"This describes running an online store and e-commerce, which is unrelated to rehabilitation or physical therapy."
127,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",You think software for construction has to be simple and practical? Then you will like Valoon!,False,Valoon is construction-related software and has no functionality for computer crime investigations or digital evidence analysis.
128,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",OxValue.AI utilizes data and AI technology to evaluate the monetary value of technology or technology-rich startup companies.,False,Valuation analytics inform investors; no explicit exec policy/direction tooling.
129,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.","CENTURY is the award-winning artificial intelligence teaching and learning platform for schools, colleges and universities.
Founded in 2015, CENTURY uses AI (ML & deep learning), neuroscience and learning science to provide each student with an education that dynamically adapts to their individual needs, while empowering teachers to perform even better as educators.",True,CENTURY is a proven AI platform for schools providing adaptive learning and data for teacher interventions.
130,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.",Imagine a world where you can effortlessly **process orders coming in from all different ERPs and in different formats** without ever being tied down to the same system.,False,This platform automates order processing across ERP systems; it has no connection to studying or modeling physical phenomena.
131,"Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","Jade Autism develops educational solutions for children with Autistic Spectrum Disorder (ASD) or other learning disabilities, helping their cognitive development and using technology for inclusive education.",True,Jade Autism builds education solutions for ASD and learning disabilities—direct fit for individualized early interventions.
132,"Assist patients in obtaining services, understanding policies and making health care decisions.","AI Medical Technology has developed the smartphone application Dermalyser, a clinically validated AI-powered medical software device for skin cancer diagnostic support. Dermalyser enables healthcare professionals to make fast and accurate diagnoses for their patients.Dermalyser is a smartphone application powered by artificial intelligence (AI) providing diagnostic decision support for medical professionals in clinical settings. Dermalyser enables fast and accurate diagnosis of melanoma, the most dangerous type of skin cancer. The application is used with a dermatoscope (magnifying glass) mounted in front of the smartphone camera. The medical professional takes an image of the patient’s suspicious skin lesion and, within a few seconds, receives a result from the AI. With Dermalyser, skin cancer can be diagnosed in time, and unnecessary surgeries can be avoided. Dermalyser can save patient lives while the standardised course of care for melanoma and healthcare becomes time and cost-efficient.",False,Dermalyser supports clinicians; not patient policy/decision navigation.
133,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",Transform your ideas into fully automated Quant trading strategies for any asset class or trading style without any coding.,False,This platform automates quantitative trading strategies and is unrelated to biological or biochemical research.
134,"Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.",CourtCorrect offers an AI-powered online legal system. We make it easy and affordable for people and companies to resolve legal disputes.,True,"CourtCorrect provides an AI-powered platform to resolve legal disputes online, directly supporting arbitration/ADR-style workflows for courts."
135,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",Billions of USD worth of industrial inventory is wasted every year while resource scarcity and supply chain disruption puts manufacturing processes at risk.,False,"This startup addresses industrial inventory and supply chain risks, not legal drafting or law enactment."
136,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","vencortex augments the entire decision-making process by combining human intuition with AI to make better decisions, faster.Decision-making is slow, siloed, and incomplete. Until now.
That's why we build vencortex Strategic Decision OS
The first and only system to augment the entire decision-making process by combining human intuition with AI. 
Now businesses like yours can make better, faster, and steadily improving decisions with confidence.",True,“Strategic Decision OS” explicitly augments decision-making across the org.
137,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.",Our vision is to empower growers to nourish the world's growing population while safeguarding our planet's boundaries.,False,"Agricultural vision/empowerment startup, not directly researching microorganisms."
138,"Assist patients in obtaining services, understanding policies and making health care decisions.","MiiCare aims to disrupt the way care is provided. MiiCare's digital health coach and companion, 'Monica', empowers older adults to take more independence in their personal health and wellness needs while offering peace of mind, daily insights, and health data to both loved ones and care providers. MiiCare's ecosystem of IoT sensors and telehealth devices captures daily activities and body vitals enabling caregivers to better understand an older adult's health and prioritise ​care need.",True,MiiCare’s coach + sensors support elderly self-management and care access.
139,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","At Suplient, we’re revolutionizing the coaching and psychotherapy landscape.",False,Suplient is focused on coaching and psychotherapy and provides no support for developing or enacting laws.
140,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.","SAT.IO originated as a spin-off from the Institute of Space Systems at the University of Stuttgart, Germany.",False,SAT.IO is a space systems spin-off; it does not relate to physical rehabilitation or therapy programs.
141,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","At Glitch Ads, simplicity is our mission.Our ad setup is lightning-fast, powered by cutting-edge technology, AI, and automation.",False,"Glitch Ads focuses on advertising setup and marketing automation, not on arts education or creative teaching support."
142,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",Our vision is to empower growers to nourish the world's growing population while safeguarding our planet's boundaries.,False,Empowering growers in agriculture does not support physical therapy or mobility rehabilitation tasks.
143,"Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","Skillogs is a pure player aspiring to become a leading actor on the Personal Learning Environment, Intelligent Training System, e-learning, and Tutoring market.
Enter the new era of training and education, from 6 to 99 years old!
No more chapter-based e-learning, and identical MOOCs for everyone: welcome to adaptive Learning.

Thanks to data analysis, ACARYA, our digital Artificial Intelligence platform, is able to distribute the curriculum differently for each learner. ACARYA emphasizes the support of the learner but also the on of the teacher. The learner will have at his / her disposal an arsenal of tools allowing him/her to identify the difficulties in order to be able to constitute homogeneous groups, optimize
time, give exercises according to the levels of each one. Each student’s progress will therefore be adapted.

When the learner has a question, ACARYA is able to analyze it, and to identify all relevant segments of the course, related to that question.
Whatever the curriculum, it is integrated into the e-learning platform, and the content is adapted to each student: mathematics, cooking, foreign languages, IT… Success is within everyone’s reach.",True,Adaptive learning/teacher supports align with individualized instruction and tracking for diverse needs.
144,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,"Climate X uses a blend of physical risk models and machine learning to automatically project how extreme weather events linked to climate change could impact millions of specific assets or locations anywhere in the world, up to 80 years into the future. To bring the impacts into the real-world, Climate X also calculates how exposure to extreme weather events could impact the value of assets.",True,Quantifies extreme weather risk at asset/location level—directly valuable for property underwriting.
145,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","DeepMirror develops bespoke software that redefines quantitative biomedical data analysis workflows using AI-based cloud technologies. It specialises in artificial intelligence, deep learning, data analysis, data science, biology, medicine, and image analysis. DeepMirror’s Small Data AI Platform connects to Life Sciences datasets with as few as 100 datapoints.",True,"DeepMirror provides AI workflows for biomedical data analysis, useful in microbiology studies involving omics or imaging."
146,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","We are pioneers in our field. We expand the potential of machine learning for capital market investing by building on the best practises of quantitative asset management. Machine learning allows us to evaluate more influencing variables without preconceptions, recognise their interdependencies more clearly, and create more precise information from the financial markets' data noise - all the way up to the early detection of market-relevant structural changes.",True,"This startup applies machine learning to capital markets investing, directly supporting investment and securities management."
147,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","raffle.ai is here to make searching for information and knowledge easy with AI technology.Raffle.ai aims to improve the experience of your customers who are searching for information and knowledge. It has some cool sounding products, driven by AI: AutoPilot, CoPilot, and MissionControl, which hold your customer’s hands through their queries, and then report back to you with the results, giving detailed analysis on how your customers and employees have interacted.",False,"raffle.ai improves customer information search, not health informatics."
148,"Assist patients in obtaining services, understanding policies and making health care decisions.","Chatfy is an AI-driven platform that revolutionizes professional skills development through immersive role-play scenarios. Our mission is to facilitate meaningful, impactful learning experiences that translate directly into real-world capability.We're currently inviting top professionals to become early adopters.Chatfy is an AI-driven platform that revolutionizes professional skills development through immersive role-play scenarios. Our mission is to facilitate meaningful, impactful learning experiences that translate directly into real-world capability.We're currently inviting top professionals to become early adopters. If you're a first mover eager to enhance your skillset and make a real impact on your professional growth and your organization, fill this short form: https://tally.so/r/3qaWd2By leveraging advanced AI technology, we provide a platform for individuals and organizations to engage in tailored role-play scenarios. These scenarios cover a wide range of professional skills, allowing users to practice, learn, and improve in a safe yet challenging environment.Chatfy stands at the forefront of learning technology, offering an innovative approach to skills development. Our platform empowers users to take control of their professional growth, providing the tools to build confidence, competence, and career success.As trailblazers in the edtech industry, we are committed to creating transformative learning experiences that drive personal and professional growth. Join us as we shape the future of professional development.",False,Skills role-play edtech; not patient navigation.
149,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","We create next-generation conversational AI agents for chat and email automation, as call center assistant and for knowledge retrieval.",False,Conversational agents for support; not an executive-level management tool.
150,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Unplanned downtime, unnecessary preventive maintenance, premature assets ageing, energy deficiencies, high maintenance costs, stressful situations are part of the daily life of many industrial companies.",False,Industrial maintenance optimization tools are not applicable to teaching courses in arts or drama.
151,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",SaferPLACES is a start-up company formed in the framework of an EIT Climate-KIC funded research project started in 2018.,False,SaferPLACES focuses on climate and urban research; it does not support mobility improvement or physical therapy activities.
152,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Altada is an AI data compliance startup, founded because of the lack of ethical and trustworthy AI products. Altada transforms data-rich clients into data-driven companies using a powerful AI platform to cleanse and organize data environments.",False,Data compliance/cleanup positioning; not clearly an ops management system.
153,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Finmatics Software enables businesses and accounting firms to experience the future of accounting right now. Our digital assistants combine smart software that learns with extensive knowledge that grows. As a result, our customers benefit from intelligent automation of their accounting processes that is quick, simple, and revision-proof.",True,Finmatics automates accounting processes for businesses and accounting firms; directly supports financial operations.
154,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","9fin is the faster, smarter way to find leveraged finance intelligence. We have everything you need to analyse a credit or win a mandate in one place. At 9fin we're trusted by 7 of the top 10 Investment Banks, Asset Management firms with more than €52bn of European High Yield AUM and 80% of trading desks by estimated European High Yield volume.",True,9fin provides leveraged finance intelligence for investment banks and asset managers; highly relevant to investing and securities.
155,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites.","Floware offers a new approach to analyze, model and predict mobility flows in order to help decision makers, relying on its integrated innovative sensors, modelling tools and AI.",True,Floware models and predicts mobility flows with sensors and AI — directly supports traffic guidance and safety.
156,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Software development platform to evaluate, optimize and monitor LLM apps like AI Conversational Bots and Content Generation Agents, ensuring data privacy and security.",False,"A platform for evaluating and optimizing LLM apps is technical and software-oriented, not aimed at supporting arts education or creative teaching."
157,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","Swavy automates most of the steps required to launch a successful creator marketing campaign. This becomes invaluable when collaborating with large cohorts of micro-creators, which is what we specialize in.",False,Swavy provides automation for creator marketing campaigns and is unrelated to policy making or legislative processes.
158,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","We create innovative solutions for the critically ill patient by combining translational medical research, data science and computational intelligence. With a patient-centric view, we combine state-of-the-art research with modern technologies to enable an optimal treatment for every patient. We create solutions for the critically ill patient by combining data science, AI and medical research. 

Clinomic is a dynamic, fast-growing start-up focussed on developing innovative technological solutions for critically ill patients. We create groundbreaking solutions for the critically ill by combining translational medical research, data science and computational intelligence. With a patient-centric view, we combine state-of-the-art research with modern technologies to enable an optimal treatment for every patient.",True,"Clinomic develops technological solutions for critically ill patients, integrating data science and AI into healthcare workflows."
159,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.","ChAIPredict help mitigate commodity price volatility for buyers and sellers of commodities by forecasting their prices using both traditional and alternative data (including satellite and maritime) and the latest in AI techniques over time horizons of one day to one year. Our vision is to provide SME manufacturers with the same price risk mitigationtools that are currently only available to their larger peers. We use Artificial Intelligence on all the data that matters, to provide a future view of the commodities market. Enabling companies to reduce operating costs and manage commodities price risk.",True,ChAIPredict forecasts commodity prices—key input for DCF and margin scenarios.
160,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","We help Lenders by integrating data like Payment, GPS, and customer metadata.",False,"Integrating data for lenders is unrelated to drama, music, or art education."
161,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",We help medical students become the doctors of tomorrow with our cutting-edge AI simulation platform.,False,The AI platform trains medical students; it is unrelated to legislative drafting or policy-making for elected officials.
162,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.",Beat Shaper is a generative music platform that uses AI to enable aspiring artists to create unique songs with no music background necessary.,False,Beat Shaper is a generative music AI platform and has no involvement with physical sciences research or theoretical physics development.
163,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",RobotDreams is a patent pending and unique AI-based software for the diagnosis of cardiovascular diseases using blood tests.,False,"RobotDreams diagnoses cardiovascular diseases using AI blood tests. While health-related, it does not provide tools for planning or performing rehabilitative programs."
164,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","For facility management and events, Technis has developed modulable and smart flooring solutions that allow users to count in real time.
We already assist big clients such as Orange, Unibail Rodamco, Sciences Po Paris, the Cern, ViParis, EM Lyon, Palais des Congrès de Cannes, Paleo Festival, Eurosatory, Puy du Fou, Telenor, and others in monitoring their infrastructure or events.
In addition, Technis provides a healthcare application for retirement homes. The system, which is equipped with cutting-edge sensor technology and deep learning algorithms, allows for physical activity tracking, monitoring, and fall detection in the patient's room, among other things. Technis addresses a number of issues that affect the elderly and medical workers in nursing homes.",True,"Technis provides smart flooring with AI for activity tracking and physical monitoring in healthcare, aligning with observing participants and monitoring exercise form."
165,"Assist patients in obtaining services, understanding policies and making health care decisions.","Frankie is reinventing mental healthcare through machine learning, computer vision, and virtual delivery to provide personalised and evidence-based support to global teams.Frankie Health works to reduce anxiety, burnout and stress by using a preventative approach with virtual delivery. It offers personalised, clinical, evidence-based exercises to build mental resilience and, when greater support is needed, connects workers to a community of experienced therapists that can be accessed from home or the office. Frankie uses end-to-end encryption for privacy and machine learning to improve effectiveness.",True,Prevention-focused mental-health app plus therapist routing supports access and decisions.
166,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",Mindee develops APIs for extracting text from any kind of image and instantly transforming it into usable data. Mindee's APIs instantly turn any visual information on any document into actionable data with accuracy and quick response time. Mindee's mission is to enhance the value of any business by offering tailor-made artificial intelligence solutions tailored to each business.,False,"Mindee APIs are for OCR and document extraction, not nursing informatics."
